0.94,,0
5.16,,1
10.52,,2
15.54,,3
20.23,,4
25.25,,5
30.21,,6
34.96,,7
40.25,,8
44.61,,9
49.7,,10
54.99,,11
60.62,,12
65.57,,13
70.6,,14
75.62,,15
80.04,,16
85,,17
90.82,,18
95.24,,19
99.87,,20
104.22,,21
109.51,,22
114.74,,23
119.83,,24
125.05,,25
129.74,,26
134.76,,27
139.45,,28
143.94,,29
149.16,,30
154.66,,31
159.28,,32
163.9,,33
168.65,,34
174.21,,35
179.77,,36
184.26,,37
189.15,,38
194.44,,39
199.4,,40
204.82,,41
208.98,,42
213.93,,43
218.89,,44
223.64,,45
228.87,,46
234.03,,47
238.98,,48
243.92,,49
249.28,,50
255.65,,51
260.4,,52
265.63,,53
270.52,,54
275.41,,55
280.23,,56
284.78,,57
290.21,,58
294.76,,59
300.39,,60
305.28,,61
309.77,,62
314.72,,63
319.95,,64
324.84,,65
330.26,,66
335.02,,67
339.84,,68
344.86,,69
349.69,,70
354.91,,71
359.87,,72
